features	pron	subj	arity
▯ and ▯ satisfy relation ▯ with each other _BIAS _RAKU_cu _2_RAKU_checu _ARITY_3	tá	sF	3
▯ is a prankster trickster rascal rapscallion scoundrel jester _BIAS _RAKU_cuo _2_RAKU_checuo _ARITY_1	hó	sI	1
▯ tricks ▯ into satisfying property ▯ _BIAS _RAKU_du _2_RAKU_chedu _ARITY_3	hó	sI	3
▯ is a swindler charlatan con man trickster _BIAS _RAKU_che _2_RAKU_duche _ARITY_1	hó	sI	1
▯ is deceptively beautiful ▯ is beautiful on the outside surface but rotten to the core _BIAS _RAKU_de _2_RAKU_dude _ARITY_1	tá	sI	1
▯ is clothing garment uniform typically worn by ▯ ers while they satisfy that predicate _BIAS _RAKU_fuq _2_RAKU_chefuq _ARITY_2	máq	sI	2
▯ is a digit finger toe _BIAS _RAKU_cheı _ARITY_1	máq	sI	1
▯ is a knuckle ▯ is a finger or toe joint _BIAS _RAKU_bea _2_RAKU_cheıbea _ARITY_1	máq	sI	1
▯ is a cup _BIAS _RAKU_bıo _2_RAKU_cheıbıo _ARITY_1	máq	sI	1
▯ is a ring _BIAS _RAKU_bıu _2_RAKU_cheıbıu _ARITY_1	máq	sI	1
▯ pokes prods presses ▯ with a finger _BIAS _RAKU_la _2_RAKU_cheıla _ARITY_2	hó	sA	2
▯ drums their fingers ▯ drums their fingers on ▯ _BIAS _RAKU_dea _2_RAKU_ruedea _ARITY_2	hó	sI	2
▯ is a finger print toe print _BIAS _RAKU_se _2_RAKU_cheıse _ARITY_1	máq	sI	1
▯ is a date fruit _BIAS _RAKU_zeo _2_RAKU_cheızeo _ARITY_1	máq	sI	1
▯ is a jaw _BIAS _RAKU_ja _2_RAKU_cheja _ARITY_1	máq	sI	1
▯ is a temporomandibular joint _BIAS _RAKU_bea _2_RAKU_jabea _ARITY_1	máq	sI	1
▯ is an armchair ▯ ist ▯ is not really a professional and potentially merely an enthusiast and or doesn t have formal education to at satisfy ing property ▯ _BIAS _RAKU_kuaı _2_RAKU_chekuaı _ARITY_2	hó	sI	2
▯ is a community of ▯ ers _BIAS _RAKU_chem _ARITY_2	hóq	sI	2
▯ is a community center guild hall _BIAS _RAKU_jıo _2_RAKU_geqjıo _ARITY_1	máq	sI	1
▯ is in heat estrus _BIAS _RAKU_neq _2_RAKU_cheneq _ARITY_1	hó	sI	1
▯ are in reciprocal relationship ▯ with each other _BIAS _RAKU_cheo _ARITY_2	tá	sF	2
▯ and ▯ are in relation ▯ with each other _BIAS _RAKU_cuoı _2_RAKU_cheocuoı _ARITY_3	tá	sF	3
any member of ▯ can be connected to any other member by repeated application of relation ▯ _BIAS _RAKU_cheo _2_RAKU_cheocheo _ARITY_2	tá	sF	2
▯ person is evil cruel wicked _BIAS _RAKU_he _2_RAKU_cheomhe _ARITY_1	tá	sI	1
▯ is some evil cruelty _BIAS _RAKU_se _2_RAKU_cheomse _ARITY_1	hóq	sE	1
▯ is so in the grand scheme of things ▯ is all things considered ▯ is the case considering the interplay between all things _BIAS _RAKU_nu _2_RAKU_cheonu _ARITY_1	hóq	sF	1
▯ is a bottle _BIAS _RAKU_cheoq _ARITY_1	máq	sI	1
▯ bottles fills a bottle with ▯ _BIAS _RAKU_la _2_RAKU_cheoqla _ARITY_2	hó	sI	2
▯ is each other s _BIAS _RAKU_bo _2_RAKU_cheqbo _ARITY_1	tá	sF	1
▯ is socialism _BIAS _RAKU_chuaq _2_RAKU_cheqchuaq _ARITY_1	hóq	sI	1
▯ satisfies the predicate that defines cheq _BIAS _RAKU_jeo _2_RAKU_cheqjeo _ARITY_1	tá	sF	1
▯ is a paper shredder _BIAS _RAKU_kea _2_RAKU_reukea _ARITY_1	máq	sI	1
▯ is deceptive misleading dishonest insincere _BIAS _RAKU_cheu _ARITY_1	hó	sI	1
▯ deceitfully dishonestly satisfies property ▯ _BIAS _RAKU_cheu _ARITY_2	hó	sI	2
▯ is a liar _BIAS _RAKU_buq _2_RAKU_cheubuq _ARITY_1	hó	sI	1
▯ is tactful diplomatic _BIAS _RAKU_gı _2_RAKU_cheugı _ARITY_1	hó	sI	1
▯ is cunning sly crafty wily _BIAS _RAKU_joe _2_RAKU_cheujoe _ARITY_1	hó	sI	1
▯ tells lie ▯ a statement they don t believe _BIAS _RAKU_kuq _2_RAKU_cheukuq _ARITY_2	hó	sI	2
▯ is deceptively difficult to be in relation ▯ with _BIAS _RAKU_noa _2_RAKU_cheunoa _ARITY_2	tá	sF	2
▯ lies asserts ▯ to be the case which they don t believe _BIAS _RAKU_ruaq _2_RAKU_cheuruaq _ARITY_2	hó	sA	2
▯ is a scam trick deception _BIAS _RAKU_se _2_RAKU_cheuse _ARITY_1	hóq	sF	1
▯ believes ▯ to be the case to be true _BIAS _RAKU_chı _ARITY_2	hó	sI	2
▯ needs to satisfy property ▯ _BIAS _RAKU_chıa _ARITY_2	tá	sF	2
▯ needs to satisfy property ▯ to satisfy property ▯ _BIAS _RAKU_chıa _ARITY_3	tá	sF	3
▯ is wrong incorrect _BIAS _RAKU_chıaı _ARITY_1	tá	sF	1
▯ doubles down on arguing opinion ▯ despite being proven wrong _BIAS _RAKU_chıo _2_RAKU_chıchıo _ARITY_2	hó	sI	2
▯ is a pseudonym of ▯ _BIAS _RAKU_chua _2_RAKU_chıaıchua _ARITY_2	hóq	sI	2
▯ hallucinates ▯ _BIAS _RAKU_gaı _2_RAKU_chıaıgaı _ARITY_2	hó	sI	2
▯ is careful exercises caution _BIAS _RAKU_sı _2_RAKU_chıaısı _ARITY_1	hó	sA	1
▯ is careless reckless _BIAS _RAKU_cıa _2_RAKU_sıcıa _ARITY_1	hó	sA	1
▯ does ▯ carefully avoiding making mistakes _BIAS _RAKU_tao _2_RAKU_sıtao _ARITY_2	hó	sI	2
▯ makes mistake ▯ _BIAS _RAKU_tao _2_RAKU_chıaıtao _ARITY_2	hó	sA	2
▯ is careful pays attention to avoid making mistakes _BIAS _RAKU_sı _2_RAKU_taosı _ARITY_1	hó	sA	1
▯ is careful so as not to satisfy property ▯ _BIAS _RAKU_sı _2_RAKU_taosı _ARITY_2	hó	sI	2
▯ is a back up recovery of ▯ _BIAS _RAKU_re _2_RAKU_tuere _ARITY_2	hóq	sI	2
▯ is magic witchcraft sorcery _BIAS _RAKU_chıam _ARITY_1	hóq	sI	1
▯ is a wizard can perform magic through study and devotion _BIAS _RAKU_che _2_RAKU_chıamche _ARITY_1	hó	sI	1
▯ is a sorcerer wizard witch _BIAS _RAKU_poq _2_RAKU_chıampoq _ARITY_1	hó	sI	1
▯ is aware of ▯ _BIAS _RAKU_chıaq _ARITY_2	hó	sI	2
▯ is aware of ▯ _BIAS _RAKU_chıaq _ARITY_2	hó	sI	2
▯ is sentient _BIAS _RAKU_bıa _2_RAKU_chıaqbıa _ARITY_1	hó	sI	1
▯ is a mind _BIAS _RAKU_chu _2_RAKU_chıaqchu _ARITY_1	máq	sI	1
▯ notifies ▯ of about ▯ _BIAS _RAKU_dıeq _2_RAKU_chıaqdıeq _ARITY_3	hó	sI	3
▯ is a mind _BIAS _RAKU_hua _2_RAKU_chıaqhua _ARITY_1	máq	sI	1
▯ is a plural system _BIAS _RAKU_me _2_RAKU_chıaqme _ARITY_1	hó	sI	1
▯ is not very aware ▯ is in a daze _BIAS _RAKU_rue _2_RAKU_chıaqrue _ARITY_1	hó	sI	1
▯ notices ▯ ▯ becomes aware of ▯ _BIAS _RAKU_sho _2_RAKU_chıaqsho _ARITY_2	hó	sI	2
▯ is the letter ch _BIAS _RAKU_chao _2_RAKU_chıchao _ARITY_1	hóq	sI	1
▯ is a chirp chirp bird _BIAS _RAKU_chı _2_RAKU_chıchı _ARITY_1	hó	sI	1
▯ is sensitive calibrated tuned attuned to ▯ _BIAS _RAKU_doq _2_RAKU_chıdoq _ARITY_2	tá	sI	2
▯ learns to satisfy property ▯ ▯ learns how to satisfy property ▯ _BIAS _RAKU_chıe _ARITY_2	hó	sI	2
▯ is a student _BIAS _RAKU_che _2_RAKU_chıeche _ARITY_1	hó	sI	1
▯ is a student id card _BIAS _RAKU_ta _2_RAKU_kata _ARITY_1	máq	sI	1
▯ is a school the institution itself not the building _BIAS _RAKU_chem _2_RAKU_chıechem _ARITY_1	hóq	sI	1
▯ is a textbook _BIAS _RAKU_dao _2_RAKU_chıedao _ARITY_1	hóq	sI	1
▯ teaches ▯ ▯ _BIAS _RAKU_ja _2_RAKU_chıeja _ARITY_3	hó	sA	3
▯ teaches how to satisfy ▯ _BIAS _RAKU_ja _2_RAKU_chıeja _ARITY_2	hó	sA	2
▯ is a teacher _BIAS _RAKU_che _2_RAKU_jache _ARITY_1	hó	sI	1
▯ is a school _BIAS _RAKU_jıo _2_RAKU_chıejıo _ARITY_1	máq	sI	1
▯ is a flashcard _BIAS _RAKU_ta _2_RAKU_kata _ARITY_1	máq	sI	1
▯ is a classroom _BIAS _RAKU_kua _2_RAKU_chıekua _ARITY_1	máq	sI	1
▯ is a class a group of students that have lessons together _BIAS _RAKU_chıem _ARITY_1	hó	sI	1
▯ intersects crosses traverses ▯ _BIAS _RAKU_chıeq _ARITY_2	tá	sS	2
▯ is the section wise middle of ▯ _BIAS _RAKU_chu _2_RAKU_chıeqchu _ARITY_2	máq	sI	2
▯ crosses ▯ ▯ goes across ▯ _BIAS _RAKU_fa _2_RAKU_chıeqfa _ARITY_2	hó	sI	2
▯ stays up through the night pulls an all nighter _BIAS _RAKU_shıe _2_RAKU_chıeqshıe _ARITY_1	hó	sI	1
▯ is an auxiliary language interlingua lingua franca auxlang _BIAS _RAKU_zu _2_RAKU_chıeqzu _ARITY_1	hóq	sI	1
▯ is the field discipline of machine learning _BIAS _RAKU_dıu _2_RAKU_romdıu _ARITY_1	hóq	sI	1
▯ is an exam question homework problem _BIAS _RAKU_teoq _2_RAKU_chıeteoq _ARITY_1	hóq	sI	1
▯ teaches ▯ property ▯ _BIAS _RAKU_tua _2_RAKU_chıetua _ARITY_3	hó	sA	3
▯ is a teacher _BIAS _RAKU_che _2_RAKU_tuache _ARITY_1	hó	sI	1
▯ is an l2 non native language of ▯ _BIAS _RAKU_zu _2_RAKU_chıezu _ARITY_2	hóq	sI	2
▯ is a chip of ▯ _BIAS _RAKU_fa _2_RAKU_chıfa _ARITY_2	máq	sI	2
▯ convinces ▯ that ▯ is the case _BIAS _RAKU_ja _2_RAKU_chıja _ARITY_3	hó	sA	3
▯ is a temple church sanctuary synagogue shrine _BIAS _RAKU_jıo _2_RAKU_chıjıo _ARITY_1	máq	sI	1
▯ is an officer official _BIAS _RAKU_che _2_RAKU_kuıche _ARITY_1	hó	sI	1
▯ is chili con carne chilli _BIAS _RAKU_lı _2_RAKU_chılı _ARITY_1	máq	sI	1
▯ is a follower adherent of ▯ _BIAS _RAKU_lueq _2_RAKU_chılueq _ARITY_2	hó	sI	2
▯ is bayesian statistics _BIAS _RAKU_dıu _2_RAKU_nedıu _ARITY_1	hóq	sI	1
▯ repeats ▯ times _BIAS _RAKU_chıo _ARITY_2	hóq	sP	2
▯ is january _BIAS _RAKU_chu _2_RAKU_chıochu _ARITY_1	hóq	sI	1
▯ is spicy _BIAS _RAKU_chıom _ARITY_1	tá	sI	1
▯ refactors ▯ to remove repeated parts making it dry _BIAS _RAKU_ja _2_RAKU_sıqja _ARITY_2	hó	sA	2
▯ is entomology _BIAS _RAKU_dıu _2_RAKU_chıqdıu _ARITY_1	hóq	sI	1
▯ is some bullshit ▯ makes no fucking sense ▯ is a crock of shit _BIAS _RAKU_raı _2_RAKU_chıraı _ARITY_1	tá	sF	1
▯ being true is evidence supports the belief that ▯ is true _BIAS _RAKU_rıaı _2_RAKU_chırıaı _ARITY_2	hóq	sP	2
▯ fucking sucks can go fuck itself _BIAS _RAKU_roı _2_RAKU_chıroı _ARITY_1	tá	sF	1
▯ is a belief _BIAS _RAKU_se _2_RAKU_chıse _ARITY_1	hóq	sI	1
▯ is skeptical in general _BIAS _RAKU_sıa _2_RAKU_chısıa _ARITY_1	hó	sI	1
▯ remembers to do ▯ ▯ does ▯ as they have set out to do _BIAS _RAKU_tao _2_RAKU_chıtao _ARITY_2	hó	sA	2
▯ forgets to do ▯ ▯ has set out to do ▯ but doesn t do it in the end _BIAS _RAKU_bu _2_RAKU_taobu _ARITY_2	hó	sI	2
▯ is the address coordinates of ▯ _BIAS _RAKU_chıu _ARITY_2	hóq	sI	2
▯ belief system infects brainwashes ▯ into adhering to it _BIAS _RAKU_zoaq _2_RAKU_chızoaq _ARITY_2	hóq	sI	2
▯ likes ▯ _BIAS _RAKU_cho _ARITY_2	hó	sI	2
▯ utters ▯ _BIAS _RAKU_choa _ARITY_2	hó	sA	2
▯ is a voice actor voice over talent _BIAS _RAKU_che _2_RAKU_choache _ARITY_1	hó	sI	1
▯ is phonetically pleasing ▯ has a nice sound ▯ is nice to pronounce _BIAS _RAKU_de _2_RAKU_choade _ARITY_1	tá	sI	1
▯ is phonaesthetics _BIAS _RAKU_dıu _2_RAKU_dedıu _ARITY_1	hóq	sI	1
▯ talks to ▯ _BIAS _RAKU_deoq _2_RAKU_choadeoq _ARITY_2	hó	sA	2
▯ costs ▯ _BIAS _RAKU_choaı _ARITY_2	tá	sF	2
▯ is worth its cost _BIAS _RAKU_gı _2_RAKU_choaıgı _ARITY_1	tá	sF	1
▯ is cheap inexpensive _BIAS _RAKU_hıaq _2_RAKU_choaıhıaq _ARITY_1	tá	sI	1
▯ is expensive _BIAS _RAKU_mıa _2_RAKU_choaımıa _ARITY_1	tá	sI	1
▯ saves avoids having to pay cost ▯ _BIAS _RAKU_rıeq _2_RAKU_choaırıeq _ARITY_2	hó	sI	2
▯ is a microphone _BIAS _RAKU_kea _2_RAKU_choakea _ARITY_1	máq	sI	1
▯ is a phone linguistics _BIAS _RAKU_laı _2_RAKU_choalaı _ARITY_1	máq	sI	1
▯ is a voice _BIAS _RAKU_laq _2_RAKU_choalaq _ARITY_1	hóq	sI	1
toaq discord jargon ▯ has the choa role _BIAS _RAKU_poq _2_RAKU_choapoq _ARITY_1	hó	sI	1
▯ is a guest of ▯ _BIAS _RAKU_choaq _ARITY_2	hó	sI	2
▯ shows hospitality towards ▯ _BIAS _RAKU_cho _2_RAKU_choaqcho _ARITY_2	hó	sA	2
▯ visits ▯ _BIAS _RAKU_fa _2_RAKU_choaqfa _ARITY_2	hó	sA	2
▯ feels welcome visiting ▯ _BIAS _RAKU_foaq _2_RAKU_choaqfoaq _ARITY_2	hó	sI	2
▯ welcomes ▯ _BIAS _RAKU_hıo _2_RAKU_choaqhıo _ARITY_2	hó	sA	2
▯ is a hotel guesthouse _BIAS _RAKU_jıo _2_RAKU_choaqjıo _ARITY_1	máq	sI	1
▯ is a guest at visiting ▯ _BIAS _RAKU_tı _2_RAKU_choaqtı _ARITY_2	hó	sI	2
▯ is a vowel _BIAS _RAKU_rıa _2_RAKU_choarıa _ARITY_1	hóq	sI	1
▯ is phonetics _BIAS _RAKU_dıu _2_RAKU_toaıdıu _ARITY_1	hóq	sI	1
▯ is spoken language ▯ is a spoken language of ▯ _BIAS _RAKU_zu _2_RAKU_choazu _ARITY_2	hóq	sF	2
▯ recommends to ▯ ▯ ▯ gives to ▯ recommendation for thing ▯ ▯ suggests that ▯ like ▯ _BIAS _RAKU_dıe _2_RAKU_chodıe _ARITY_3	hó	sA	3
▯ takes place until ▯ _BIAS _RAKU_choe _ARITY_2	hóq	sE	2
▯ repeats until ▯ is the case _BIAS _RAKU_chıo _2_RAKU_choechıo _ARITY_2	hóq	sE	2
▯ is a commotion ruckus chaotic situation _BIAS _RAKU_choeq _ARITY_1	hóq	sE	1
▯ is a troublemaker mischief maker rascal trickster _BIAS _RAKU_che _2_RAKU_choeqche _ARITY_1	hó	sI	1
▯ is sharp _BIAS _RAKU_choı _ARITY_1	tá	sI	1
▯ is a thorn _BIAS _RAKU_beq _2_RAKU_choıbeq _ARITY_1	máq	sI	1
▯ is a claw talon _BIAS _RAKU_ceaq _2_RAKU_choıceaq _ARITY_1	máq	sI	1
▯ is diamond dust ice crystals a cloud of tiny ice crystals formed at ground level _BIAS _RAKU_ha _2_RAKU_ceha _ARITY_1	máq	sI	1
▯ is a thorn _BIAS _RAKU_hua _2_RAKU_choıhua _ARITY_1	máq	sI	1
▯ sharpens ▯ _BIAS _RAKU_ja _2_RAKU_choıja _ARITY_2	hó	sA	2
▯ pierces ▯ _BIAS _RAKU_peo _2_RAKU_choıpeo _ARITY_2	máq	sI	2
▯ is diamond _BIAS _RAKU_pıo _2_RAKU_choıpıo _ARITY_1	máq	sI	1
▯ is a cranberry berry _BIAS _RAKU_zeo _2_RAKU_poaızeo _ARITY_1	máq	sI	1
▯ likes on social media faves heart reacts on ▯ _BIAS _RAKU_nı _2_RAKU_jını _ARITY_2	hó	sI	2
▯ is hagelslag soft chocolate sprinkles _BIAS _RAKU_ruq _2_RAKU_koruq _ARITY_1	máq	sI	1
▯ is chocolate spread _BIAS _RAKU_sham _2_RAKU_kosham _ARITY_1	máq	sI	1
▯ is cocoa hot chocolate _BIAS _RAKU_ze _2_RAKU_koze _ARITY_1	máq	sI	1
▯ likes ▯ which people rarely like ▯ is into niche thing ▯ _BIAS _RAKU_leı _2_RAKU_choleı _ARITY_2	hó	sI	2
▯ is an insect bug _BIAS _RAKU_chom _ARITY_1	hó	sI	1
▯ is entomology _BIAS _RAKU_dıu _2_RAKU_chomdıu _ARITY_1	hóq	sI	1
▯ is an insect bug _BIAS _RAKU_chom _ARITY_1	hó	sI	1
▯ is an insect bug _BIAS _RAKU_chom _ARITY_1	hó	sI	1
▯ is popular trendy well liked _BIAS _RAKU_chom _ARITY_1	tá	sI	1
▯ uses ▯ _BIAS _RAKU_choq _ARITY_2	hó	sA	2
▯ uses ▯ for ▯ _BIAS _RAKU_choq _ARITY_3	hó	sA	3
▯ is worn used vintage antique _BIAS _RAKU_geo _2_RAKU_choqgeo _ARITY_1	tá	sI	1
▯ is useful for doing ▯ _BIAS _RAKU_gı _2_RAKU_choqgı _ARITY_2	tá	sI	2
▯ is useless inconvenient for doing ▯ _BIAS _RAKU_huı _2_RAKU_choqhuı _ARITY_2	tá	sI	2
▯ is usable possible to use _BIAS _RAKU_kıu _2_RAKU_choqkıu _ARITY_1	tá	sI	1
▯ is usable fit for use _BIAS _RAKU_tıao _2_RAKU_choqtıao _ARITY_1	tá	sI	1
▯ is out of order cannot be used _BIAS _RAKU_zueq _2_RAKU_choqzueq _ARITY_1	máq	sI	1
▯ is the favourite of ▯ among ▯ _BIAS _RAKU_soq _2_RAKU_chosoq _ARITY_3	tá	sF	3
▯ is the middle of ▯ _BIAS _RAKU_chu _ARITY_2	hóq	sI	2
▯ is a nerve _BIAS _RAKU_ka _2_RAKU_'aka _ARITY_1	máq	sI	1
▯ is rheological gel _BIAS _RAKU_'ıa _2_RAKU_chu'ıa _ARITY_1	máq	sI	1
▯ is a name of ▯ _BIAS _RAKU_chua _ARITY_2	hóq	sI	2
▯ is a name tag _BIAS _RAKU_boe _2_RAKU_chuaboe _ARITY_1	máq	sI	1
▯ is onomastics onomatology study of names _BIAS _RAKU_dıu _2_RAKU_chuadıu _ARITY_1	hóq	sI	1
▯ names calls ▯ name ▯ _BIAS _RAKU_do _2_RAKU_chuado _ARITY_3	hó	sA	3
▯ is frozen _BIAS _RAKU_chuaı _ARITY_1	tá	sI	1
▯ is a freezer _BIAS _RAKU_kea _2_RAKU_chuaıkea _ARITY_1	máq	sI	1
▯ is ice frozen water _BIAS _RAKU_nao _2_RAKU_chuaınao _ARITY_1	máq	sI	1
▯ is sleet slush frozen rain _BIAS _RAKU_ruq _2_RAKU_chuaıruq _ARITY_1	máq	sI	1
▯ is hail _BIAS _RAKU_ruq _2_RAKU_chuaıruq _ARITY_1	máq	sI	1
▯ is a blizzard _BIAS _RAKU_zuom _2_RAKU_chuaızuom _ARITY_1	hóq	sF	1
▯ signs writes their signature on ▯ _BIAS _RAKU_kaı _2_RAKU_chuakaı _ARITY_2	hó	sA	2
▯ is a window _BIAS _RAKU_chuao _ARITY_1	máq	sI	1
▯ is a glyph representing a fillable blank spot such as the first glyph in this sentence _BIAS _RAKU_laı _2_RAKU_chuaolaı _ARITY_1	máq	sI	1
▯ is a window cover _BIAS _RAKU_tıe _2_RAKU_chuaotıe _ARITY_1	máq	sI	1
▯ is an ism ideology _BIAS _RAKU_chuaq _ARITY_1	hóq	sI	1
▯ is a tendency of behaviour action state condition or opinion belonging to a class or group of persons or the result of a doctrine ideology or principle or lack thereof _BIAS _RAKU_chuaq _ARITY_1	hóq	sI	1
▯ is an advocate missionary _BIAS _RAKU_che _2_RAKU_jeaqche _ARITY_1	hó	sI	1
▯ is a middle finger _BIAS _RAKU_cheı _2_RAKU_chucheı _ARITY_1	máq	sI	1
▯ pierces punctures pricks stabs ▯ _BIAS _RAKU_choq _2_RAKU_chuchoq _ARITY_2	máq	sI	2
▯ agent pierces punctures pricks stabs ▯ _BIAS _RAKU_ja _2_RAKU_choqja _ARITY_2	hó	sA	2
▯ is a train caravan succession _BIAS _RAKU_chue _ARITY_1	máq	sI	1
▯ is a train station _BIAS _RAKU_ce _2_RAKU_chuece _ARITY_1	máq	sI	1
▯ is a train vehicle _BIAS _RAKU_chao _2_RAKU_chuechao _ARITY_1	máq	sI	1
▯ is a choo choo train _BIAS _RAKU_chue _2_RAKU_chuechue _ARITY_1	máq	sI	1
it s ▯ turn to get to satisfy property ▯ _BIAS _RAKU_dı _2_RAKU_chuedı _ARITY_2	tá	sI	2
▯ is a sequence comprised of ▯ _BIAS _RAKU_chuem _ARITY_2	hóq	sI	2
▯ crushes mashes squashes ▯ _BIAS _RAKU_chueq _ARITY_2	hó	sA	2
▯ is an agglutinating language _BIAS _RAKU_zu _2_RAKU_chuezu _ARITY_1	hóq	sI	1
lanao ▯ is inbound headed to the center of the spiral _BIAS _RAKU_na _2_RAKU_fana _ARITY_1	tá	sF	1
▯ is china _BIAS _RAKU_gua _2_RAKU_chugua _ARITY_1	máq	sI	1
▯ hears ▯ in their mind s ear imagination _BIAS _RAKU_huo _2_RAKU_chuhuo _ARITY_2	hó	sI	2
▯ is early _BIAS _RAKU_chuı _ARITY_1	hóq	sE	1
▯ is breakfast cereal _BIAS _RAKU_guı _2_RAKU_chuıguı _ARITY_1	máq	sI	1
▯ is breakfast _BIAS _RAKU_haq _2_RAKU_chuıhaq _ARITY_1	máq	sI	1
▯ is a brush _BIAS _RAKU_chuım _ARITY_1	máq	sI	1
▯ is a fungus from the genus penicillium _BIAS _RAKU_lıao _2_RAKU_chuımlıao _ARITY_1	máq	sI	1
▯ is penicillin _BIAS _RAKU_saı _2_RAKU_lıaosaı _ARITY_1	máq	sI	1
▯ is a rite custom ritual tradition convention _BIAS _RAKU_toq _2_RAKU_chuıqtoq _ARITY_1	hóq	sF	1
▯ person institution culture etc observes recognizes statute custom law holiday convention ▯ _BIAS _RAKU_lıeı _2_RAKU_toqlıeı _ARITY_2	tá	sF	2
▯ is dawn _BIAS _RAKU_rıao _2_RAKU_chuırıao _ARITY_1	hóq	sI	1
▯ is a save file _BIAS _RAKU_kao _2_RAKU_chukao _ARITY_1	hóq	sI	1
▯ mediates between among ▯ _BIAS _RAKU_kuq _2_RAKU_chukuq _ARITY_2	hó	sA	2
▯ is determined resolved resolute to satisfy property ▯ _BIAS _RAKU_chum _ARITY_2	hó	sI	2
▯ is an interpunct _BIAS _RAKU_laı _2_RAKU_chumlaı _ARITY_1	máq	sI	1
▯ is lewd sexual _BIAS _RAKU_nı _2_RAKU_chunı _ARITY_1	tá	sF	1
▯ is sexy sexually attractive _BIAS _RAKU_de _2_RAKU_nıde _ARITY_1	tá	sF	1
▯ is perverted a pervert _BIAS _RAKU_huı _2_RAKU_nıhuı _ARITY_1	tá	sF	1
▯ is a tool utensil resource instrument for satisfying property ▯ _BIAS _RAKU_chuo _ARITY_2	máq	sI	2
▯ is a toolbar line of icons in a computer application _BIAS _RAKU_gıu _2_RAKU_chuogıu _ARITY_1	máq	sI	1
▯ is a thread rope cord string _BIAS _RAKU_chuoı _ARITY_1	máq	sI	1
▯ is string theory _BIAS _RAKU_dıu _2_RAKU_chuoıdıu _ARITY_1	hóq	sI	1
▯ is asbestos _BIAS _RAKU_pıo _2_RAKU_chuoıpıo _ARITY_1	máq	sI	1
▯ is a byte _BIAS _RAKU_laı _2_RAKU_chuomlaı _ARITY_1	máq	sI	1
▯ is in bytes binary of a file digital _BIAS _RAKU_no _2_RAKU_chuomno _ARITY_1	tá	sF	1
▯ hits collides with ▯ _BIAS _RAKU_chuoq _ARITY_2	tá	sI	2
▯ is a crash collision incident _BIAS _RAKU_tue _2_RAKU_chuoqtue _ARITY_1	hóq	sE	1
▯ eats ▯ _BIAS _RAKU_chuq _ARITY_2	hó	sA	2
▯ are chopsticks _BIAS _RAKU_beaq _2_RAKU_chuqbeaq _ARITY_1	máq	sI	1
▯ is cutlery an eating utensil _BIAS _RAKU_chuo _2_RAKU_chuqchuo _ARITY_1	máq	sI	1
▯ is a dishwasher appliance _BIAS _RAKU_kea _2_RAKU_sıqkea _ARITY_1	máq	sI	1
▯ is a fork _BIAS _RAKU_guao _2_RAKU_chuqguao _ARITY_1	máq	sI	1
▯ digests ▯ _BIAS _RAKU_guıq _2_RAKU_chuqguıq _ARITY_2	hó	sA	2
▯ is a diet _BIAS _RAKU_juao _2_RAKU_chuqjuao _ARITY_1	hóq	sI	1
▯ is hungry _BIAS _RAKU_kuaı _2_RAKU_chuqkuaı _ARITY_1	hó	sI	1
▯ is a vegetable edible plant _BIAS _RAKU_nıu _2_RAKU_chuqnıu _ARITY_1	máq	sI	1
▯ is edible _BIAS _RAKU_tıao _2_RAKU_chuqtıao _ARITY_1	tá	sI	1
▯ is turing complete _BIAS _RAKU_jeq _2_RAKU_keajeq _ARITY_1	tá	sF	1
▯ is a chinese language _BIAS _RAKU_zu _2_RAKU_chuzu _ARITY_1	hóq	sI	1
▯ has hope that ▯ is the case ▯ believes ▯ can happen _BIAS _RAKU_chı _2_RAKU_daıchı _ARITY_2	hó	sI	2
▯ imagines ▯ _BIAS _RAKU_daım _ARITY_2	hó	sA	2
▯ is an idea _BIAS _RAKU_sıo _2_RAKU_daısıo _ARITY_1	hóq	sI	1
▯ is plausible ▯ looks like it could happen _BIAS _RAKU_sıu _2_RAKU_daısıu _ARITY_1	hóq	sE	1
▯ is an external acquired separable property of ▯ s _BIAS _RAKU_ta _2_RAKU_daıta _ARITY_2	hóq	sP	2
▯ is an elder senior respectful term _BIAS _RAKU_lao _2_RAKU_dalao _ARITY_1	hó	sI	1
▯ is dame in go a point on the board which neither player can claim as territory such as in a seki _BIAS _RAKU_dam _ARITY_1	máq	sI	1
▯ defeats ▯ _BIAS _RAKU_na _2_RAKU_dana _ARITY_2	hó	sA	2
▯ is information data _BIAS _RAKU_dao _ARITY_1	hóq	sI	1
▯ is a file _BIAS _RAKU_baq _2_RAKU_daobaq _ARITY_1	hóq	sI	1
▯ is a file system _BIAS _RAKU_heq _2_RAKU_baqheq _ARITY_1	hóq	sI	1
▯ is a usb stick pen thumb drive memory stick _BIAS _RAKU_beaq _2_RAKU_daobeaq _ARITY_1	máq	sI	1
▯ is an address url file path to data ▯ _BIAS _RAKU_chıu _2_RAKU_daochıu _ARITY_2	hóq	sI	2
▯ informs indicates says that ▯ is the case _BIAS _RAKU_do _2_RAKU_daodo _ARITY_2	tá	sF	2
▯ video audio file gif etc plays _BIAS _RAKU_faq _2_RAKU_daofaq _ARITY_1	hóq	sI	1
▯ is a hard disk _BIAS _RAKU_feoq _2_RAKU_daofeoq _ARITY_1	máq	sI	1
▯ is computer science _BIAS _RAKU_dıu _2_RAKU_jıoqdıu _ARITY_1	hóq	sI	1
